ID,Length,GC_Content
EU240725.1,240,50.83333333333333
NZ_JBBEZD010000544.1,387,48.06201550387597
NZ_JADOYP010000246.1,234,55.98290598290598
NZ_JAJAQZ010000712.1,252,52.77777777777778
NZ_JABFYM010000640.1,769,52.405721716514954
NZ_CAMPQZ010000345.1,238,46.63865546218487
NZ_CAMPRQ010000186.1,259,55.98455598455598
NZ_BFME01000059.1,302,52.317880794701985
NZ_BFNB01000360.1,358,46.927374301675975
NZ_JAIMGN010001194.1,242,42.97520661157025
NZ_VCLZ01000187.1,251,41.832669322709165
NZ_JAHCTM010000616.1,275,64.36363636363637
NZ_JAOCNI010000713.1,230,66.08695652173913
NZ_FZHS01000431.1,334,52.99401197604791
NZ_CDRU01000784.1,1944,50.514403292181065
NZ_JAPIWR010000154.1,658,75.6838905775076
VZFW01000303.1,420,50.0
VZHW01000363.1,398,56.28140703517588
POSU01001761.1,387,56.07235142118863
POSU01001762.1,387,55.55555555555556
MOKZ01001167.1,1295,58.14671814671814
MOKW01000234.1,901,56.15982241953385
LQWH01000145.1,1842,49.8371335504886
NZ_NMMG01000172.1,435,52.41379310344828
NZ_JBBEYZ010000773.1,414,51.20772946859904
NZ_JAWCWY010000189.1,816,58.2107843137255
NZ_JAKGPJ010000465.1,1925,52.05194805194805
NZ_JAYKFE010000133.1,418,53.110047846889955
NZ_JASKOE010000543.1,1381,52.932657494569156
NZ_JANDAG010000204.1,387,48.320413436692505
NZ_UNQA01000192.1,525,41.904761904761905
NZ_JALSGF010000656.1,318,56.91823899371069
NZ_JAXASU010000125.1,404,53.21782178217822
NZ_CAMPQZ010000078.1,253,55.33596837944664
NZ_CAMPRA010000231.1,240,59.583333333333336
NZ_JAFBGI010000456.1,433,51.27020785219399
NZ_WIKF01000117.1,345,51.59420289855072
NZ_SQBJ01000285.1,309,40.370370370370374
NZ_JABXCQ010000511.1,250,49.2
NZ_JABXCQ010000334.1,897,48.272017837235225
NZ_JALXTX010000126.1,250,52.0
NZ_JACVXQ010000192.1,301,59.46843853820598
NZ_WSGZ01000048.1,392,59.43877551020408
NZ_WMDV01000102.1,404,48.51485148514851
NZ_JAHUVQ010000349.1,305,36.0655737704918
NZ_JAFBLC010000206.1,244,50.81967213114754
NZ_JABFJA010000380.1,249,56.62650602409639
NZ_VKTP01000522.1,203,34.48275862068966
BIEQ01000022.1,1026,40.15594541910331
BIEV01000121.1,1963,37.74834437086093
NZ_PXKG01001199.1,213,59.154929577464785
NZ_PGKH01000185.1,621,60.22544283413849
NZ_BFSO01000003.1,306,57.84313725490197
NZ_BGVT01000816.1,250,55.60000000000001
NZ_BGNW01000289.1,433,49.88452655889146
BGJE01000624.1,794,41.183879093198996
BGGJ01000082.1,1531,37.687785760940564
BGFB01000003.1,1259,37.4900714853058
